YYMMMDD __east(m) _north(m) ____up(m)
16JAN02 -0.946683 0.342092 0.231697
16JAN03 -0.946615 0.341329 0.229501
16JAN04 -0.945952 0.339970 0.225768
16JAN05 -0.945353 0.340714 0.230150
16JAN06 -0.949882 0.338516 0.227725
16JAN07 -0.947118 0.338752 0.232275
16JAN08 -0.942307 0.338159 0.225955
16JAN09 -0.945236 0.340173 0.238378
16JAN10 -0.941024 0.341480 0.233170
16JAN11 -0.945785 0.341991 0.225241
16JAN12 -0.945701 0.339748 0.227022
16JAN13 -0.946043 0.338354 0.225198
16JAN14 -0.946679 0.339958 0.225772
16JAN15 -0.945160 0.338854 0.226579
16JAN16 -0.945181 0.339383 0.228201
16JAN17 -0.944977 0.341125 0.229536
16JAN18 -0.943813 0.339261 0.227566
16JAN19 -0.943453 0.338078 0.238082
16JAN20 -0.944071 0.337564 0.232886
16JAN21 -0.945918 0.338060 0.236864
16JAN22 -0.944127 0.338473 0.232422
16JAN23 -0.945427 0.340728 0.234961
16JAN24 -0.946247 0.341482 0.232367
16JAN25 -0.945324 0.337933 0.232647
16JAN26 -0.944661 0.338978 0.223688
16JAN27 -0.945716 0.339240 0.230620
16JAN28 -0.947534 0.338915 0.225291
16JAN29 -0.945319 0.342421 0.212292
16JAN30 -0.949572 0.339957 0.207603
16JAN31 -0.950385 0.339653 0.223477
16FEB01 -0.947647 0.339852 0.224455
16FEB02 -0.945497 0.340852 0.228294
16FEB03 -0.946749 0.340084 0.229250
16FEB04 -0.946447 0.339782 0.225193
16FEB05 -0.945860 0.338835 0.222219
16FEB06 -0.945948 0.340149 0.227362
16FEB07 -0.946197 0.339995 0.225649
16FEB08 -0.946324 0.339782 0.225843
16FEB09 -0.944564 0.338572 0.235758
16FEB10 -0.946897 0.339505 0.226112
16FEB11 -0.945795 0.338523 0.242341
16FEB12 -0.943963 0.337389 0.234207
16FEB13 -0.948587 0.339739 0.238161
16FEB14 -0.945042 0.341580 0.244422
16FEB15 -0.940402 0.340514 0.236417
16FEB16 -0.939746 0.340174 0.223517
16FEB17 -0.945273 0.336327 0.225477
16FEB18 -0.950229 0.339988 0.246040
16FEB19 -0.946161 0.349307 0.214862
16FEB20 -0.946554 0.338226 0.228756
16FEB21 -0.948481 0.337096 0.230165
16FEB22 -0.944657 0.337542 0.225248
16FEB23 -0.942827 0.336043 0.234987
16FEB24 -0.943665 0.337013 0.212472
16FEB25 -0.942122 0.335971 0.231577
16FEB26 -0.944483 0.336171 0.231967
16FEB27 -0.944906 0.338888 0.235658
16FEB28 -0.946684 0.338572 0.238050
16FEB29 -0.941286 0.337322 0.217581
16MAR01 -0.947142 0.339900 0.217488
16MAR02 -0.948652 0.339666 0.230933
16MAR03 -0.946169 0.338712 0.228808
16MAR04 -0.944023 0.339715 0.233870
16MAR05 -0.944172 0.337556 0.224901
16MAR06 -0.947143 0.338310 0.230729
16MAR07 -0.944816 0.337473 0.217753
16MAR08 -0.945118 0.338259 0.226286
16MAR09 -0.941484 0.337474 0.227949
