YYMMMDD __east(m) _north(m) ____up(m)
10NOV22 0.353963 0.559463 0.230745
10NOV23 0.353378 0.558061 0.219709
10NOV24 0.352054 0.555954 0.216951
10NOV25 0.345789 0.556579 0.206880
10NOV26 0.367478 0.560087 0.094005
10NOV27 0.339258 0.563183 0.175467
10NOV28 0.341670 0.560522 0.193503
10NOV29 0.357938 0.566571 0.157592
10NOV30 0.350845 0.559318 0.213231
10DEC01 0.353290 0.559413 0.218410
10DEC02 0.353799 0.559868 0.219765
10DEC03 0.354493 0.558958 0.226932
10DEC04 0.342434 0.555843 0.171409
10DEC05 0.368287 0.562218 0.157009
10DEC06 0.343374 0.568064 0.088553
10DEC07 0.329352 0.566297 0.225226
10DEC08 0.315915 0.557316 0.178289
10DEC09 0.334714 0.563059 0.161882
10DEC10 0.332894 0.561636 0.182286
10DEC11 0.354743 0.560590 0.220188
10DEC12 0.350774 0.559815 0.210136
10DEC13 0.354073 0.560544 0.222972
10DEC14 0.353689 0.559776 0.222294
10DEC15 0.342038 0.561082 0.193211
10DEC16 0.329963 0.567584 0.198242
10DEC17 0.355356 0.570326 0.107727
10DEC18 0.330550 0.569289 0.229839
10DEC19 0.340694 0.559276 0.190286
10DEC20 0.358138 0.569837 0.089236
10DEC21 0.344138 0.563261 0.157594
10DEC22 0.344523 0.562500 0.196310
10DEC23 0.352280 0.558751 0.223348
10DEC24 0.351739 0.560823 0.220810
10DEC25 0.353028 0.562741 0.220245
10DEC26 0.354048 0.561100 0.222435
10DEC27 0.354006 0.561726 0.220604
10DEC28 0.339782 0.563815 0.187477
10DEC29 0.326667 0.573892 0.204408
10DEC30 0.353487 0.562773 0.209065
10DEC31 0.352722 0.563223 0.217623
11JAN01 0.358338 0.562390 0.228917
11JAN02 0.353131 0.561744 0.223329
11JAN03 0.351562 0.561632 0.221521
11JAN04 0.356750 0.561159 0.224789
11JAN05 0.353813 0.562949 0.220268
11JAN06 0.353169 0.562220 0.214995
11JAN07 0.355092 0.562131 0.219405
11JAN08 0.354035 0.561344 0.214858
11JAN09 0.355277 0.564806 0.220207
11JAN10 0.352653 0.561661 0.216869
11JAN11 0.354491 0.564960 0.221591
